ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-194334,Source2,2,2016-12-01 05:13:34,2016-12-01 05:43:02,42.335854,-71.10749799999998,,,0.0,Accident a pedestrian involved on Francis St near Vining St.,Vining St,Boston,Suffolk,MA,02115-6111,US,US/Eastern,KBOS,2016-12-01 05:22:00,51.1,,100.0,29.41,3.0,WSW,11.5,0.0,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-194340,Source2,3,2016-12-01 06:15:12,2016-12-01 06:44:56,42.330719,-71.060905,,,0.01,Accident on Expressway Northbound near Southampton St.,Frontage Rd,Boston,Suffolk,MA,02118-2803,US,US/Eastern,KBOS,2016-12-01 05:54:00,51.1,,100.0,29.41,3.0,WSW,12.7,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-194399,Source2,2,2016-12-01 07:59:19,2016-12-01 08:28:54,42.361366,-71.072342,,,0.01,Accident on MA-28 Storrow Dr Eastbound before MA-3 Cambridge St.,Cambridge St,Boston,Suffolk,MA,02114-3110,US,US/Eastern,KBOS,2016-12-01 07:54:00,48.9,,93.0,29.43,10.0,WNW,11.5,,Scattered Clouds,False,False,False,False,False,False,True,False,True,False,False,False,False,Day,Day,Day,Day
A-194430,Source2,2,2016-12-01 08:57:51,2016-12-01 09:27:15,42.34763,-71.03289000000002,,,0.0,Accident a pedestrian involved on Seafood Way at Fid Kennedy Ave.,Fid Kennedy Ave,Boston,Suffolk,MA,02210-2321,US,US/Eastern,KBOS,2016-12-01 08:54:00,50.0,,86.0,29.47,10.0,WNW,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194612,Source2,2,2016-12-02 11:03:32,2016-12-02 11:33:25,42.367451,-71.06163000000002,,,0.01,Accident on MA-28 Storrow Dr near I-93.,I-93 N,Boston,Suffolk,MA,02114,US,US/Eastern,KBOS,2016-12-02 10:54:00,48.9,,52.0,29.77,10.0,WNW,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194946,Source2,2,2016-12-05 11:35:43,2016-12-05 12:05:39,42.35302,-71.073921,,,0.01,Accident on MA-2 Commonwealth Ave at Berkeley St.,Berkeley St,Boston,Suffolk,MA,02116,US,US/Eastern,KBOS,2016-12-05 11:38:00,37.0,30.4,96.0,29.97,5.0,SSE,9.2,0.02,Light Rain,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-195082,Source2,2,2016-12-06 08:32:36,2016-12-06 09:02:19,42.333447,-71.057014,,,0.01,Accident on Damrell St near Dorchester Ave.,Damrell St,Boston,Suffolk,MA,02127-2737,US,US/Eastern,KBOS,2016-12-06 08:54:00,37.9,31.5,73.0,30.13,10.0,WNW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195113,Source2,3,2016-12-06 08:57:06,2016-12-06 09:26:39,42.369446,-71.026306,,,0.01,Accident on I-90 Ted Williams Tunl Westbound near Terminal Access Rd.,Ted Williams Tunl,Boston,Suffolk,MA,02128,US,US/Eastern,KBOS,2016-12-06 08:54:00,37.9,31.5,73.0,30.13,10.0,WNW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195206,Source2,3,2016-12-06 21:24:59,2016-12-06 21:54:39,42.369446,-71.026306,,,0.01,Accident on I-90 Ted Williams Tunl Eastbound at Exit 26 Terminal Access Rd.,Ted Williams Tunl,Boston,Suffolk,MA,02128,US,US/Eastern,KBOS,2016-12-06 21:19:00,41.0,39.0,73.0,30.04,10.0,SSW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-195251,Source2,2,2016-12-07 07:41:34,2016-12-07 08:11:16,42.36623400000001,-71.067337,,,0.01,Accident a pedestrian involved on Martha Rd near Whittier Pl.,Martha Rd,Boston,Suffolk,MA,02114-1200,US,US/Eastern,KBOS,2016-12-07 07:46:00,39.9,,97.0,29.99,2.5,Calm,,0.01,Light Rain,True,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
